variable,importance
ANTIGUEDAD,0.021212868
EDAD,0.0082372045
FLAG_LIMA_PROVINCIA,0.008527158
FLG_BANCARIZADO,0.009911238
FLG_NOMINA,0.009668812
FLG_SDO_OTSSFF_MENOS0,0.0099138655
FLG_SDO_OTSSFF_MENOS1,0.014279318
FLG_SDO_OTSSFF_MENOS2,0.009549857
FLG_SDO_OTSSFF_MENOS3,0.0070338612
FLG_SDO_OTSSFF_MENOS4,0.007100259
FLG_SDO_OTSSFF_MENOS5,0.017372329
FLG_SEGURO_MENOS0,0.07539025
FLG_SEGURO_MENOS1,0.010764249
FLG_SEGURO_MENOS2,0.003653545
FLG_SEGURO_MENOS3,0.0122940475
FLG_SEGURO_MENOS4,0.008451483
FLG_SEGURO_MENOS5,0.008342826
MESES_CON_SALDO,0.013099817
MESES_CON_SEGURO,0.016402423
NRO_ACCES_CANAL1_MENOS0,0.00904373
NRO_ACCES_CANAL1_MENOS1,0.007842235
NRO_ACCES_CANAL1_MENOS2,0.015342872
NRO_ACCES_CANAL1_MENOS3,0.0104432935
NRO_ACCES_CANAL1_MENOS4,0.0076687876
NRO_ACCES_CANAL1_MENOS5,0.007924526
NRO_ACCES_CANAL2_MENOS0,0.008325695
NRO_ACCES_CANAL2_MENOS1,0.0075777587
NRO_ACCES_CANAL2_MENOS2,0.0068085124
NRO_ACCES_CANAL2_MENOS3,0.007332984
NRO_ACCES_CANAL2_MENOS4,0.00915051
NRO_ACCES_CANAL2_MENOS5,0.006610294
NRO_ACCES_CANAL3_MENOS0,0.014196581
NRO_ACCES_CANAL3_MENOS1,0.007402255
NRO_ACCES_CANAL3_MENOS2,0.00876854
NRO_ACCES_CANAL3_MENOS3,0.0067752013
NRO_ACCES_CANAL3_MENOS4,0.007855917
NRO_ACCES_CANAL3_MENOS5,0.00690496
NRO_ENTID_SSFF_MENOS0,0.01676479
NRO_ENTID_SSFF_MENOS1,0.0095525095
NRO_ENTID_SSFF_MENOS2,0.012487213
NRO_ENTID_SSFF_MENOS3,0.011617396
NRO_ENTID_SSFF_MENOS4,0.008435684
NRO_ENTID_SSFF_MENOS5,0.0075896205
PROM_NRO_ACCES_CANAL1_0M_2M,0.006969043
PROM_NRO_ACCES_CANAL1_3M_5M,0.008447956
PROM_NRO_ACCES_CANAL1_6M,0.008249284
PROM_NRO_ACCES_CANAL2_0M_2M,0.006974543
PROM_NRO_ACCES_CANAL2_3M_5M,0.008955006
PROM_NRO_ACCES_CANAL2_6M,0.00829912
PROM_NRO_ACCES_CANAL3_0M_2M,0.01554718
PROM_NRO_ACCES_CANAL3_3M_5M,0.008228725
PROM_NRO_ACCES_CANAL3_6M,0.008927992
PROM_NRO_ENTID_SSFF_0M_2M,0.012614151
PROM_NRO_ENTID_SSFF_3M_5M,0.011289781
PROM_NRO_ENTID_SSFF_6M,0.01111025
PROM_SDO_ACTIVO_0M_2M,0.008644763
PROM_SDO_ACTIVO_3M_5M,0.0068151266
PROM_SDO_ACTIVO_6M,0.00705977
RANG_INGRESO,0.018799951
RANG_NRO_PRODUCTOS_MENOS0,0.019952932
RANG_SDO_PASIVO_MENOS0,0.0984186
SDO_ACTIVO_MENOS0,0.01622594
SDO_ACTIVO_MENOS1,0.0131311705
SDO_ACTIVO_MENOS2,0.0076357243
SDO_ACTIVO_MENOS3,0.008142335
SDO_ACTIVO_MENOS4,0.010274652
SDO_ACTIVO_MENOS5,0.010281874
VAR_NRO_ACCES_CANAL1_3M,0.007321597
VAR_NRO_ACCES_CANAL1_6M,0.007640614
VAR_NRO_ACCES_CANAL2_3M,0.009763743
VAR_NRO_ACCES_CANAL2_6M,0.008584867
VAR_NRO_ACCES_CANAL3_3M,0.008751662
VAR_NRO_ACCES_CANAL3_6M,0.00855126
VAR_NRO_ENTID_SSFF_3M,0.009426577
VAR_NRO_ENTID_SSFF_6M,0.018554855
VAR_SDO_ACTIVO_3M,0.008242177
VAR_SDO_ACTIVO_6M,0.0091782445
dictamen_NO PROCEDE,0.006999171
dictamen_PROCEDE PARCIAL,0.0100542605
dictamen_PROCEDE TOTAL,0.0074781645
nro_dictamenes,0.008412674
nro_productos_servicios,0.008772074
nro_submotivos,0.0068729115
nro_tipos_requerimiento,0.0
tipo_Reclamo,0.0075811385
tipo_Solicitud,0.0068307477
total_requerimientos,0.0063602473
